,,,,,,,,,,,,,,,,,,,,,,,,,
Central Suffolk and North Ipswich,Central Suffolk and North Ipswich,England,531.11681446036,106.11681446036,530,,10,2,,1.1,562,,105,,-15,-12.5,,165,,30,22.2,,371,158,
Ceredigion,Ceredigion,Wales,536.67838985778,131.67838985778,535,,-10,-2,,1.7,442,,130,,-20,-13.3,,135,,-25,-15.6,,360,174,
Charnwood,Charnwood,England,355.71026806883,90.71026806883,355,,-35,-9,,0.7,638,,90,,15,20.0,,115,,5,4.5,,203,151,
Chatham and Aylesford,Chatham and Aylesford,England,"1,307.52350983084",307.52350983084,"1,305",,-70,-5,,2.5,291,,305,,-5,-1.6,,290,,-15,-4.9,,930,372,
Cheadle,Cheadle,England,586.33830756339,121.33830756339,585,,-5,-1,,1.3,520,,120,,-10,-7.7,,145,,10,7.4,,291,292,
Chelmsford,Chelmsford,England,951.65467637950,181.65467637950,950,,-30,-3,,1.7,444,,180,,-35,-16.3,,250,,15,6.4,,676,276,
Chelsea and Fulham,Chelsea and Fulham,England,"1,197.03698680837",127.03698680837,"1,195",,145,14,,2.0,367,,125,,-15,-10.7,,420,,125,42.4,,496,706,
Cheltenham,Cheltenham,England,821.48337497539,156.48337497539,820,,5,1,,1.5,486,,155,,-25,-13.9,,210,,30,16.7,,514,304,
Chesham and Amersham,Chesham and Amersham,England,420.94730922377,80.94730922377,420,,85,25,,0.9,594,,80,,15,23.1,,120,,20,20.0,,293,127,
Chesterfield,Chesterfield,England,"1,107.44072904356",297.44072904356,"1,105",,70,7,,2.4,303,,295,,-5,-1.7,,265,,25,10.4,,732,374,
Chichester,Chichester,England,676.38052953105,121.38052953105,675,,50,8,,1.4,513,,120,,5,4.3,,200,,30,17.6,,471,200,
Chingford and Woodford Green,Chingford and Woodford Green,England,982.07420601158,172.07420601158,980,,-5,-1,,2.1,363,,170,,-15,-8.1,,265,,30,12.8,,653,329,
Chippenham,Chippenham,England,621.24330695640,146.24330695640,620,,-25,-4,,1.2,534,,145,,-35,-19.4,,165,,15,10.0,,381,235,
Chipping Barnet,Chipping Barnet,England,"1,031.75091224354",156.75091224354,"1,030",,-10,-1,,1.8,424,,155,,-45,-22.5,,295,,35,13.5,,727,303,
Chorley,Chorley,England,"1,132.25852533666",272.25852533666,"1,130",,100,10,,2.3,336,,270,,15,5.9,,290,,45,18.4,,573,557,
Christchurch,Christchurch,England,416.19750573311,76.19750573311,415,,60,17,,1.2,548,,75,,10,15.4,,135,,35,35.0,,291,123,
Cities of London and Westminster,Cities of London and Westminster,England,"1,201.76404458300",131.76404458300,"1,200",,70,6,,1.8,423,,130,,0,0.0,,390,,65,20.0,,986,213,
City of Chester,City of Chester,England,916.93571999518,186.93571999518,915,,105,13,,1.9,387,,185,,5,2.8,,235,,30,14.6,,352,565,
City of Durham,City of Durham,England,"1,007.28712899593",242.28712899593,"1,005",,95,10,,2.3,332,,240,,35,17.1,,245,,45,22.5,,642,361,
Clacton,Clacton,England,"1,675.16746179399",410.16746179399,"1,670",,-5,0,,5.2,44,,405,,-15,-3.6,,455,,30,7.1,,"1,125",544,
Cleethorpes,Cleethorpes,England,"1,247.80049479071",302.80049479071,"1,245",,-85,-6,,2.8,246,,300,,-55,-15.5,,335,,40,13.6,,742,503,
Clwyd South,Clwyd South,Wales,737.09217929139,172.09217929139,735,,-85,-10,,2.1,362,,170,,-40,-19.0,,165,,-5,-2.9,,460,277,
Clwyd West,Clwyd West,Wales,942.94829901735,232.94829901735,940,,-30,-3,,2.9,226,,230,,-5,-2.1,,250,,20,8.7,,577,362,
"Coatbridge, Chryston and Bellshill","Coatbridge, Chryston and Bellshill",Scotland,"1,648.46100726687",368.46100726687,"1,645",,35,2,,3.5,160,,365,,-45,-11.0,,390,,30,8.3,,959,687,
Colchester,Colchester,England,"1,111.80442719733",231.80442719733,"1,110",,-140,-11,,1.8,412,,230,,-80,-25.8,,255,,-5,-1.9,,882,225,
Colne Valley,Colne Valley,England,"1,117.01932708783",262.01932708783,"1,115",,20,2,,2.0,373,,260,,0,0.0,,270,,35,14.9,,764,356,
Congleton,Congleton,England,531.21062471044,116.21062471044,530,,-10,-2,,1.2,540,,115,,-20,-14.8,,140,,5,3.7,,283,247,
Copeland,Copeland,England,"1,163.09306170709",258.09306170709,"1,160",,180,18,,3.1,208,,255,,5,2.0,,290,,55,23.4,,371,789,
Corby,Corby,England,"1,076.82471940637",261.82471940637,"1,075",,-130,-11,,1.8,409,,260,,-40,-13.3,,275,,-5,-1.8,,490,585,
Coventry North East,Coventry North East,England,"1,913.36340995743",353.36340995743,"1,910",,-15,-1,,3.4,174,,350,,20,6.1,,425,,25,6.3,,"1,380",531,
Coventry North West,Coventry North West,England,"1,237.30871060664",247.30871060664,"1,235",,15,1,,2.3,325,,245,,20,8.9,,270,,15,5.9,,920,315,
Coventry South,Coventry South,England,"1,437.74860030650",307.74860030650,"1,435",,85,6,,2.7,256,,305,,60,24.5,,310,,40,14.8,,"1,065",369,
Crawley,Crawley,England,991.65834929241,196.65834929241,990,,-75,-7,,1.7,443,,195,,20,11.4,,245,,-25,-9.3,,730,261,
Crewe and Nantwich,Crewe and Nantwich,England,"1,036.94537233380",241.94537233381,"1,035",,-45,-4,,1.9,384,,240,,-40,-14.3,,230,,0,0.0,,529,511,
Croydon Central,Croydon Central,England,"2,819.62851115427",504.62851115427,"2,815",,"1,035",58,,4.6,72,,500,,165,49.3,,745,,345,86.3,,414,"2,412",
Croydon North,Croydon North,England,"3,845.25588470461",670.25588470461,"3,840",,"1,170",44,,5.3,39,,665,,140,26.7,,995,,345,53.1,,841,"3,002",
Croydon South,Croydon South,England,"1,487.46744855445",267.46744855445,"1,485",,490,49,,2.5,302,,265,,80,43.2,,415,,150,56.6,,158,"1,333",
"Cumbernauld, Kilsyth and Kirkintilloch East","Cumbernauld, Kilsyth and Kirkintilloch East",Scotland,"1,247.86541169565",277.86541169565,"1,245",,70,6,,2.9,237,,275,,10,3.8,,290,,35,13.7,,619,626,
Cynon Valley,Cynon Valley,Wales,"1,188.84624105408",313.84624105408,"1,185",,-155,-12,,3.8,125,,310,,-65,-17.3,,255,,-15,-5.6,,810,376,
Dagenham and Rainham,Dagenham and Rainham,England,"1,738.36553127760",383.36553127760,"1,735",,105,6,,3.4,173,,380,,10,2.7,,405,,40,11.0,,"1,246",488,
Darlington,Darlington,England,"2,169.88245296772",504.88245296772,"2,165",,225,12,,4.9,59,,500,,75,17.6,,510,,80,18.6,,"1,483",684,
Dartford,Dartford,England,841.45726315389,196.45726315389,840,,65,8,,1.5,492,,195,,30,18.2,,200,,20,11.1,,587,248,
Daventry,Daventry,England,776.62634410616,156.62634410616,775,,105,16,,1.6,453,,155,,0,0.0,,255,,75,41.7,,281,497,
Delyn,Delyn,Wales,747.26894466925,192.26894466925,745,,-45,-6,,2.3,334,,190,,-10,-5.0,,175,,-15,-7.9,,447,298,
Denton and Reddish,Denton and Reddish,England,"1,217.81930262104",292.81930262105,"1,215",,-125,-9,,2.8,244,,290,,-35,-10.8,,255,,-25,-8.9,,514,700,
Derby North,Derby North,England,976.94156358795,216.94156358795,975,,85,10,,1.9,385,,215,,15,7.5,,195,,30,18.2,,629,342,
Derby South,Derby South,England,"1,683.23802316952",348.23802316952,"1,680",,-10,-1,,3.2,191,,345,,5,1.5,,355,,0,0.0,,"1,124",555,
Derbyshire Dales,Derbyshire Dales,England,275.74378497749,70.74378497748,275,,10,4,,0.7,631,,70,,15,27.3,,85,,10,13.3,,161,114,
Devizes,Devizes,England,500.95219620454,105.95219620454,500,,35,8,,1.0,593,,105,,-20,-16.0,,145,,40,38.1,,310,192,
Dewsbury,Dewsbury,England,"1,407.69473340233",347.69473340233,"1,405",,-30,-2,,2.7,266,,345,,-45,-11.5,,325,,50,18.2,,985,421,
Don Valley,Don Valley,England,"1,347.96305706116",367.96305706116,"1,345",,-80,-6,,3.0,224,,365,,-10,-2.7,,305,,5,1.7,,871,474,
Doncaster Central,Doncaster Central,England,"2,093.97185722784",478.97185722784,"2,090",,-100,-5,,4.0,115,,475,,-25,-5.0,,450,,5,1.1,,"1,452",638,
Doncaster North,Doncaster North,England,"1,828.98311453043",483.98311453043,"1,825",,-105,-5,,4.0,114,,480,,0,0.0,,380,,-35,-8.4,,"1,200",621,
Dover,Dover,England,"1,478.23332163797",358.23332163797,"1,475",,200,16,,3.2,192,,355,,70,24.6,,395,,30,8.2,,"1,087",387,
Dudley North,Dudley North,England,"1,915.02603334157",445.02603334157,"1,910",,115,6,,5.0,53,,440,,40,10.0,,475,,70,17.3,,"1,307",604,
Dudley South,Dudley South,England,"1,594.26009901125",379.26009901125,"1,590",,115,8,,4.3,95,,375,,45,13.6,,355,,60,20.3,,"1,096",495,
Dulwich and West Norwood,Dulwich and West Norwood,England,"2,063.14694486557",258.14694486557,"2,060",,85,4,,3.1,198,,255,,-10,-3.8,,640,,75,13.3,,"1,304",755,
Dumfries and Galloway,Dumfries and Galloway,Scotland,"1,177.64525505600",287.64525505600,"1,175",,10,1,,2.6,276,,285,,-35,-10.9,,290,,40,16.0,,728,446,
"Dumfriesshire, Clydesdale and Tweeddale","Dumfriesshire, Clydesdale and Tweeddale",Scotland,776.91015497318,161.91015497318,775,,35,5,,1.9,395,,160,,-5,-3.0,,245,,40,19.5,,504,268,
Dundee East,Dundee East,Scotland,"1,328.11637181418",343.11637181418,"1,325",,-90,-6,,3.1,202,,340,,5,1.5,,310,,-30,-8.8,,887,437,
Dundee West,Dundee West,Scotland,"2,160.19610982601",485.19610982602,"2,155",,-65,-3,,5.2,42,,480,,-55,-10.3,,505,,30,6.3,,"1,452",704,
Dunfermline and West Fife,Dunfermline and West Fife,Scotland,"1,517.98754488939",327.98754488939,"1,515",,200,15,,3.0,222,,325,,35,12.1,,340,,45,15.3,,"1,021",491,
Dwyfor Meirionnydd,Dwyfor Meirionnydd,Wales,526.97396189406,111.97396189406,525,,-50,-9,,2.0,381,,110,,-15,-12.0,,160,,-5,-3.0,,312,213,
Ealing Central and Acton,Ealing Central and Acton,England,"1,787.64800490938",187.64800490938,"1,785",,-25,-1,,2.6,274,,185,,-25,-11.9,,495,,40,8.8,,"1,321",463,
Ealing North,Ealing North,England,"1,682.76833285164",272.76833285164,"1,680",,-60,-3,,2.8,250,,270,,-15,-5.3,,440,,35,8.6,,"1,245",435,
"Ealing, Southall","Ealing, Southall",England,"1,588.24911129991",243.24911129991,"1,585",,-20,-1,,3.2,188,,240,,10,4.3,,420,,25,6.3,,"1,135",449,
Easington,Easington,England,"1,774.70774308221",484.70774308221,"1,770",,85,5,,4.7,65,,480,,5,1.1,,350,,15,4.5,,"1,096",673,
East Antrim,East Antrim,Northern Ireland,"1,503.49595797611",348.49595797611,"1,500",,-125,-8,,3.5,154,,345,,-85,-19.8,,420,,20,5.0,,"1,502",..,
East Devon,East Devon,England,486.06693459580,81.06693459580,485,,25,5,,1.1,574,,80,,5,6.7,,160,,25,18.5,,347,139,
East Dunbartonshire,East Dunbartonshire,Scotland,551.39447438553,131.39447438553,550,,75,16,,1.4,511,,130,,25,23.8,,140,,5,3.7,,262,290,
East Ham,East Ham,England,"1,852.47018017525",322.47018017525,"1,850",,-100,-5,,2.5,301,,320,,-10,-3.0,,525,,30,6.1,,"1,404",444,
East Hampshire,East Hampshire,England,370.78353668862,60.78353668862,370,,15,4,,0.8,622,,60,,0,0.0,,130,,10,8.3,,268,101,
"East Kilbride, Strathaven and Lesmahagow","East Kilbride, Strathaven and Lesmahagow",Scotland,"1,137.16974707622",267.16974707622,"1,135",,-50,-4,,2.2,354,,265,,-10,-3.6,,285,,-20,-6.6,,730,406,
East Londonderry,East Londonderry,Northern Ireland,"1,939.37081431344",484.37081431344,"1,935",,-415,-18,,4.4,88,,480,,-185,-27.8,,460,,-5,-1.1,,"1,933",..,
East Lothian,East Lothian,Scotland,"1,733.40251917385",328.40251917385,"1,730",,610,54,,3.4,166,,325,,55,20.4,,450,,195,76.5,,223,"1,512",
East Renfrewshire,East Renfrewshire,Scotland,721.64139939562,176.64139939562,720,,90,14,,1.6,448,,175,,55,45.8,,175,,40,29.6,,468,255,
East Surrey,East Surrey,England,561.00751314650,91.00751314650,560,,65,13,,1.0,587,,90,,0,0.0,,175,,40,29.6,,246,314,
East Worthing and Shoreham,East Worthing and Shoreham,England,776.60913006065,156.60913006065,775,,35,5,,1.6,455,,155,,5,3.3,,230,,25,12.2,,501,272,
East Yorkshire,East Yorkshire,England,"1,072.37079849427",257.37079849427,"1,070",,0,0,,2.4,316,,255,,40,18.6,,265,,-20,-7.0,,689,380,
Eastbourne,Eastbourne,England,"1,227.48092635774",257.48092635774,"1,225",,45,4,,2.5,298,,255,,-45,-15.0,,320,,15,4.9,,857,368,
Eastleigh,Eastleigh,England,480.84342826619,115.84342826619,480,,-50,-9,,0.8,615,,115,,0,0.0,,125,,-30,-19.4,,292,190,
Eddisbury,Eddisbury,England,576.41208262002,126.41208262002,575,,30,6,,1.4,506,,125,,-20,-13.8,,135,,10,8.0,,256,319,
Edinburgh East,Edinburgh East,Scotland,"1,297.57892264842",237.57892264842,"1,295",,-35,-3,,2.6,286,,235,,-15,-6.0,,315,,5,1.6,,882,417,
Edinburgh North and Leith,Edinburgh North and Leith,Scotland,"1,427.20144370962",197.20144370962,"1,425",,-50,-3,,2.2,347,,195,,-30,-13.3,,360,,30,9.1,,977,447,
Edinburgh South,Edinburgh South,Scotland,671.57605076653,141.57605076653,670,,-35,-5,,1.6,467,,140,,-10,-6.7,,150,,5,3.4,,430,237,
Edinburgh South West,Edinburgh South West,Scotland,"1,272.40111412158",242.40111412158,"1,270",,10,1,,2.4,312,,240,,-25,-9.4,,295,,35,13.5,,865,406,
Edinburgh West,Edinburgh West,Scotland,771.60693463449,141.60693463449,770,,10,1,,1.6,456,,140,,-10,-6.7,,210,,20,10.5,,512,261,
Edmonton,Edmonton,England,"2,143.99641072788",383.99641072788,"2,140",,-50,-2,,4.0,112,,380,,-60,-13.6,,575,,70,13.9,,"1,660",481,
Ellesmere Port and Neston,Ellesmere Port and Neston,England,"1,052.49402073900",267.49402073900,"1,050",,10,1,,2.5,296,,265,,5,1.9,,245,,5,2.1,,499,552,
Elmet and Rothwell,Elmet and Rothwell,England,531.10583875634,126.10583875634,530,,0,0,,1.1,565,,125,,5,4.2,,125,,-20,-13.8,,369,160,
Eltham,Eltham,England,"1,262.70052466720",272.70052466720,"1,260",,135,12,,2.7,265,,270,,35,14.9,,325,,45,16.1,,856,407,
Enfield North,Enfield North,England,"1,588.06697882524",288.06697882525,"1,585",,-35,-2,,3.1,210,,285,,-25,-8.1,,420,,20,5.0,,"1,183",397,
"Enfield, Southgate","Enfield, Southgate",England,971.83678631370,146.83678631370,970,,-25,-3,,1.8,406,,145,,-10,-6.5,,305,,20,7.0,,702,266,
Epping Forest,Epping Forest,England,806.62378916261,136.62378916261,805,,10,1,,1.6,454,,135,,25,22.7,,240,,20,9.1,,611,196,
Epsom and Ewell,Epsom and Ewell,England,475.88041727744,75.88041727744,475,,75,19,,0.9,607,,75,,10,15.4,,140,,30,27.3,,334,136,
Erewash,Erewash,England,"1,182.42654067999",302.42654067999,"1,180",,-45,-4,,2.4,305,,300,,-10,-3.2,,265,,-20,-7.0,,746,437,
Erith and Thamesmead,Erith and Thamesmead,England,"1,798.02183000172",333.02183000172,"1,795",,135,8,,3.0,217,,330,,5,1.5,,455,,60,15.2,,"1,294",505,
Esher and Walton,Esher and Walton,England,390.73768182881,60.73768182881,390,,60,18,,0.7,632,,60,,5,9.1,,130,,20,18.2,,275,113,
Exeter,Exeter,England,926.58597483893,171.58597483893,925,,105,13,,1.6,463,,170,,15,9.7,,235,,30,14.6,,672,252,
Falkirk,Falkirk,Scotland,"1,713.03370284634",413.03370284635,"1,710",,140,9,,3.0,215,,410,,55,15.5,,425,,65,18.1,,"1,011",700,
Fareham,Fareham,England,395.77244350576,80.77244350576,395,,-50,-11,,0.8,628,,80,,-5,-5.9,,115,,-10,-8.0,,270,124,
Faversham and Mid Kent,Faversham and Mid Kent,England,796.72664882393,181.72664882393,795,,30,4,,1.7,431,,180,,-20,-10.0,,230,,45,24.3,,546,250,
Feltham and Heston,Feltham and Heston,England,"2,573.75579357175",428.75579357175,"2,570",,"1,035",67,,3.8,131,,425,,125,41.7,,725,,355,95.9,,226,"2,349",
Fermanagh & South Tyrone,Fermanagh & South Tyrone,Northern Ireland,"1,493.04665613913",263.04665613913,"1,490",,-430,-22,,3.0,214,,260,,-140,-35.0,,405,,-80,-16.5,,"1,490",..,
Filton and Bradley Stoke,Filton and Bradley Stoke,England,626.15038309446,121.15038309446,625,,15,2,,1.2,556,,120,,0,0.0,,150,,15,11.1,,436,184,
Finchley and Golders Green,Finchley and Golders Green,England,"1,231.88709556324",126.88709556324,"1,230",,5,0,,1.9,398,,125,,-35,-21.9,,365,,65,21.7,,945,285,
Folkestone and Hythe,Folkestone and Hythe,England,"1,512.88584363850",312.88584363850,"1,510",,90,6,,2.9,230,,310,,5,1.6,,435,,35,8.8,,"1,124",389,
Forest of Dean,Forest of Dean,England,651.53742160576,141.53742160576,650,,-60,-8,,1.5,471,,140,,-45,-24.3,,175,,-5,-2.8,,424,227,
Foyle,Foyle,Northern Ireland,"3,758.69967766789",933.69967766789,"3,750",,-685,-15,,8.7,3,,925,,-300,-24.5,,800,,-55,-6.4,,"3,750",..,
Fylde,Fylde,England,772.04018078193,167.04018078193,770,,95,14,,2.0,366,,165,,5,3.1,,225,,50,28.6,,375,390,
Gainsborough,Gainsborough,England,"1,107.49946334917",297.49946334917,"1,105",,-160,-13,,2.5,295,,295,,-45,-13.2,,265,,-30,-10.2,,769,333,
Garston and Halewood,Garston and Halewood,England,"1,949.25813341271",409.25813341271,"1,945",,-50,-3,,4.3,96,,405,,-55,-12.0,,485,,25,5.4,,909,"1,033",
Gateshead,Gateshead,England,"2,365.02149595632",525.02149595632,"2,360",,175,8,,5.0,55,,520,,70,15.6,,570,,85,17.5,,"1,570",793,
Gedling,Gedling,England,"1,037.18557737294",227.18557737294,"1,035",,75,8,,2.2,350,,225,,-5,-2.2,,250,,35,16.3,,751,286,
Gillingham and Rainham,Gillingham and Rainham,England,"1,207.38680118637",267.38680118637,"1,205",,-60,-5,,2.4,313,,265,,-35,-11.7,,335,,70,26.4,,848,356,
Glasgow Central,Glasgow Central,Scotland,"2,214.58695713397",414.58695713397,"2,210",,55,3,,4.6,75,,410,,15,3.8,,500,,70,16.3,,"1,492",717,
Glasgow East,Glasgow East,Scotland,"2,255.36529141495",490.36529141495,"2,250",,-30,-1,,5.4,33,,485,,-60,-11.0,,500,,70,16.3,,"1,400",851,
Glasgow North,Glasgow North,Scotland,"1,629.17204153887",299.17204153887,"1,625",,175,12,,4.2,102,,295,,5,1.7,,360,,75,26.3,,"1,096",529,
Glasgow North East,Glasgow North East,Scotland,"2,446.25284197454",501.25284197454,"2,440",,45,2,,6.3,16,,495,,-5,-1.0,,545,,35,6.9,,"1,574",868,
Glasgow North West,Glasgow North West,Scotland,"1,964.61364515414",399.61364515414,"1,960",,0,0,,4.6,73,,395,,-40,-9.2,,420,,20,5.0,,"1,227",734,
Glasgow South,Glasgow South,Scotland,"1,628.57195735501",318.57195735501,"1,625",,50,3,,3.6,143,,315,,5,1.6,,375,,45,13.6,,999,626,
Glasgow South West,Glasgow South West,Scotland,"2,205.37909023461",465.37909023462,"2,200",,-35,-2,,5.4,32,,460,,-30,-6.1,,500,,35,7.5,,"1,319",883,
Glenrothes,Glenrothes,Scotland,"1,809.35742534470",494.35742534470,"1,805",,35,2,,4.4,89,,490,,0,0.0,,355,,-5,-1.4,,"1,240",567,
Gloucester,Gloucester,England,"1,352.19770525690",297.19770525690,"1,350",,-85,-6,,2.2,348,,295,,-10,-3.3,,335,,5,1.5,,978,370,
Gordon,Gordon,Scotland,941.69190443160,171.69190443160,940,,85,10,,1.7,440,,170,,45,36.0,,310,,40,14.8,,713,226,
Gosport,Gosport,England,691.42124155966,171.42124155966,690,,40,6,,1.4,502,,170,,10,6.3,,195,,45,30.0,,453,237,
Gower,Gower,Wales,676.89769578634,196.89769578634,675,,-75,-10,,1.9,397,,195,,20,11.4,,165,,-30,-15.4,,356,314,
Grantham and Stamford,Grantham and Stamford,England,966.79677677177,241.79677677177,965,,70,8,,1.8,416,,240,,5,2.1,,265,,50,23.3,,614,349,
Gravesham,Gravesham,England,"1,412.70883474209",327.70883474209,"1,410",,20,1,,2.7,261,,325,,-5,-1.5,,365,,35,10.6,,980,430,
Great Grimsby,Great Grimsby,England,"2,616.19100933913",626.19100933913,"2,610",,-10,0,,6.2,19,,620,,-10,-1.6,,585,,45,8.3,,"1,599","1,011",
Great Yarmouth,Great Yarmouth,England,"2,996.77023137641",656.77023137641,"2,990",,"1,030",53,,6.8,12,,650,,150,30.0,,785,,330,72.5,,476,"2,517",
Greenwich and Woolwich,Greenwich and Woolwich,England,"2,008.01573872557",348.01573872557,"2,005",,-10,0,,3.0,218,,345,,-15,-4.2,,505,,55,12.2,,"1,490",515,
Guildford,Guildford,England,450.78351221690,80.78351221689,450,,45,11,,0.8,623,,80,,30,60.0,,135,,0,0.0,,337,111,
Hackney North and Stoke Newington,Hackney North and Stoke Newington,England,"2,328.13315726908",283.13315726908,"2,325",,-90,-4,,3.1,201,,280,,-25,-8.2,,725,,70,10.7,,"1,904",420,
