,,,,,,,,,,,,,,,,,,,,,,,,,
South West Bedfordshire,South West Bedfordshire,England,606.06302441062,101.06302441062,605,,-40,-6,,1.1,576,,100,,-20,-16.7,,170,,-5,-2.9,,462,142,
South West Devon,South West Devon,England,451.03926943656,111.03926943656,450,,-50,-10,,1.0,582,,110,,-20,-15.4,,120,,-10,-7.7,,314,138,
South West Hertfordshire,South West Hertfordshire,England,586.06823811034,111.06823811034,585,,40,7,,1.1,573,,110,,-10,-8.3,,190,,25,15.2,,428,155,
South West Norfolk,South West Norfolk,England,711.40798433735,161.40798433735,710,,-15,-2,,1.4,508,,160,,-20,-11.1,,195,,0,0.0,,440,269,
South West Surrey,South West Surrey,England,365.73551372048,45.73551372048,365,,25,7,,0.7,633,,45,,0,0.0,,125,,15,13.6,,278,88,
South West Wiltshire,South West Wiltshire,England,741.50130844344,171.50130844344,740,,115,18,,1.5,481,,170,,15,9.7,,180,,35,24.1,,485,254,
"Southampton, Itchen","Southampton, Itchen",England,"1,096.91614553269",241.91614553269,"1,095",,-155,-12,,1.9,393,,240,,-40,-14.3,,255,,-15,-5.6,,642,452,
"Southampton, Test","Southampton, Test",England,"1,081.87248055512",231.87248055512,"1,080",,-175,-14,,1.9,399,,230,,-30,-11.5,,285,,-5,-1.7,,653,427,
Southend West,Southend West,England,826.83737965292,196.83737965292,825,,35,4,,1.8,405,,195,,5,2.6,,215,,25,13.2,,510,316,
Southport,Southport,England,"1,032.50306667868",182.50306667868,"1,030",,-5,0,,2.5,294,,180,,-55,-23.4,,295,,55,22.9,,547,482,
Spelthorne,Spelthorne,England,606.17445689070,106.17445689070,605,,40,7,,1.2,553,,105,,5,5.0,,195,,30,18.2,,421,188,
St Albans,St Albans,England,631.18236692766,111.18236692766,630,,85,16,,1.2,551,,110,,30,37.5,,165,,10,6.5,,409,225,
St Austell and Newquay,St Austell and Newquay,England,"1,187.47382061074",287.47382061074,"1,185",,75,7,,2.5,300,,285,,20,7.5,,290,,35,13.7,,685,501,
St Helens North,St Helens North,England,"1,733.82814930756",403.82814930756,"1,730",,10,1,,3.8,126,,400,,-75,-15.8,,370,,25,7.2,,666,"1,065",
St Helens South and Whiston,St Helens South and Whiston,England,"1,843.86252650482",453.86252650482,"1,840",,-135,-7,,3.9,122,,450,,-105,-18.9,,380,,25,7.0,,734,"1,105",
St Ives,St Ives,England,736.91237780455,171.91237780455,735,,20,3,,1.9,394,,170,,25,17.2,,200,,5,2.6,,467,269,
Stafford,Stafford,England,626.33927947666,161.33927947666,625,,85,16,,1.3,519,,160,,35,28.0,,155,,40,34.8,,336,290,
Staffordshire Moorlands,Staffordshire Moorlands,England,441.20460448891,76.20460448891,440,,60,16,,1.2,544,,75,,15,25.0,,125,,10,8.7,,315,125,
Stalybridge and Hyde,Stalybridge and Hyde,England,"1,663.72353965222",368.72353965222,"1,660",,20,1,,3.7,133,,365,,-65,-15.1,,390,,20,5.4,,697,963,
Stevenage,Stevenage,England,941.83285235643,176.83285235643,940,,10,1,,1.8,408,,175,,15,9.4,,295,,25,9.3,,647,292,
Stirling,Stirling,Scotland,"1,022.25571694482",257.25571694482,"1,020",,25,3,,2.3,337,,255,,5,2.0,,230,,-5,-2.1,,566,456,
Stockport,Stockport,England,"1,693.79889191946",348.79889191946,"1,690",,45,3,,3.8,128,,345,,-25,-6.8,,375,,60,19.0,,805,887,
Stockton North,Stockton North,England,"2,480.73874236991",590.73874236991,"2,475",,70,3,,5.7,26,,585,,65,12.5,,590,,55,10.3,,"1,712",761,
Stockton South,Stockton South,England,"1,733.37624207244",408.37624207244,"1,730",,60,4,,3.4,172,,405,,45,12.5,,380,,5,1.3,,"1,212",522,
Stoke-on-Trent Central,Stoke-on-Trent Central,England,"1,599.13165932069",329.13165932069,"1,595",,170,12,,4.1,106,,325,,45,16.1,,345,,60,21.1,,"1,222",374,
Stoke-on-Trent North,Stoke-on-Trent North,England,"1,538.48351416403",323.48351416403,"1,535",,145,10,,3.5,157,,320,,25,8.5,,320,,45,16.4,,"1,150",385,
Stoke-on-Trent South,Stoke-on-Trent South,England,977.41706698315,272.41706698315,975,,70,8,,2.4,307,,270,,75,38.5,,200,,5,2.6,,608,368,
Stone,Stone,England,375.94726338583,90.94726338583,375,,20,6,,0.9,595,,90,,10,12.5,,110,,0,0.0,,215,161,
Stourbridge,Stourbridge,England,"1,433.38088835155",333.38088835155,"1,430",,95,7,,3.4,171,,330,,-10,-2.9,,390,,40,11.4,,938,496,
Strangford,Strangford,Northern Ireland,"1,483.49474368677",378.49474368677,"1,480",,-255,-15,,3.5,155,,375,,-50,-11.8,,395,,-40,-9.2,,"1,478",..,
Stratford-on-Avon,Stratford-on-Avon,England,295.71378033255,55.71378033255,295,,35,13,,0.7,636,,55,,5,10.0,,95,,25,35.7,,79,214,
Streatham,Streatham,England,"1,967.57386673934",247.57386673934,"1,965",,-35,-2,,2.6,287,,245,,0,0.0,,650,,65,11.1,,"1,460",504,
Stretford and Urmston,Stretford and Urmston,England,"1,472.98744065235",292.98744065235,"1,470",,-45,-3,,3.0,223,,290,,-35,-10.8,,375,,15,4.2,,716,754,
Stroud,Stroud,England,490.93356154155,140.93356154155,490,,-20,-4,,0.9,597,,140,,10,7.7,,120,,-10,-7.7,,259,231,
Suffolk Coastal,Suffolk Coastal,England,481.09695990807,106.09695990807,480,,80,20,,1.1,567,,105,,10,10.5,,150,,30,25.0,,266,216,
Sunderland Central,Sunderland Central,England,"2,284.68872984170",484.68872984170,"2,280",,210,10,,4.7,66,,480,,25,5.5,,620,,80,14.8,,"1,506",773,
Surrey Heath,Surrey Heath,England,460.81787297899,80.81787297899,460,,90,24,,0.8,620,,80,,30,60.0,,125,,5,4.2,,323,132,
Sutton and Cheam,Sutton and Cheam,England,"1,041.94950506800",161.94950506800,"1,040",,390,60,,1.9,383,,160,,55,52.4,,315,,125,65.8,,198,844,
Sutton Coldfield,Sutton Coldfield,England,726.60460973590,161.60460973590,725,,85,13,,1.6,458,,160,,-5,-3.0,,195,,50,34.5,,424,298,
Swansea East,Swansea East,Wales,"1,529.02658113447",414.02658113447,"1,525",,30,2,,4.0,109,,410,,15,3.8,,315,,10,3.3,,981,547,
Swansea West,Swansea West,Wales,"1,388.85449376782",338.85449376782,"1,385",,-105,-7,,3.9,123,,335,,-10,-2.9,,280,,10,3.7,,979,405,
Tamworth,Tamworth,England,576.22410189258,136.22410189258,575,,65,13,,1.2,537,,135,,5,3.8,,135,,30,28.6,,357,216,
Tatton,Tatton,England,375.93258122828,70.93258122828,375,,-5,-1,,0.9,598,,70,,0,0.0,,125,,10,8.7,,156,216,
Taunton Deane,Taunton Deane,England,"1,041.87040598294",226.87040598294,"1,040",,190,22,,1.9,400,,225,,20,9.8,,275,,50,22.2,,319,722,
Telford,Telford,England,"1,368.05874968744",378.05874968744,"1,365",,145,12,,3.1,211,,375,,25,7.1,,265,,45,20.5,,784,579,
Tewkesbury,Tewkesbury,England,596.14774883995,141.14774883995,595,,-30,-5,,1.1,557,,140,,0,0.0,,185,,-15,-7.5,,374,218,
The Cotswolds,The Cotswolds,England,400.85116651637,90.85116651637,400,,5,1,,0.9,611,,90,,10,12.5,,130,,10,8.3,,252,145,
The Wrekin,The Wrekin,England,651.46715182432,186.46715182432,650,,80,14,,1.5,490,,185,,30,19.4,,175,,45,34.6,,383,272,
Thirsk and Malton,Thirsk and Malton,England,806.71684570376,141.71684570376,805,,315,64,,1.7,433,,140,,35,33.3,,250,,95,61.3,,169,636,
Thornbury and Yate,Thornbury and Yate,England,350.82317492418,95.82317492418,350,,0,0,,0.8,618,,95,,-10,-9.5,,85,,5,6.3,,223,129,
Thurrock,Thurrock,England,"1,822.81940290629",372.81940290629,"1,820",,-15,-1,,2.8,243,,370,,-40,-9.8,,395,,35,9.7,,"1,285",540,
Tiverton and Honiton,Tiverton and Honiton,England,636.38809020392,126.38809020392,635,,-10,-2,,1.4,512,,125,,-5,-3.8,,185,,5,2.8,,436,202,
Tonbridge and Malling,Tonbridge and Malling,England,601.19990014202,121.19990014202,600,,20,3,,1.2,546,,120,,5,4.3,,185,,20,12.1,,449,151,
Tooting,Tooting,England,"1,086.71604845870",146.71604845870,"1,085",,-40,-4,,1.7,434,,145,,-10,-6.5,,340,,25,7.9,,745,342,
Torbay,Torbay,England,"1,423.16163827175",268.16163827175,"1,420",,-20,-1,,3.2,196,,265,,-15,-5.4,,455,,25,5.8,,961,457,
Torfaen,Torfaen,Wales,"1,238.20637941043",393.20637941043,"1,235",,-160,-11,,3.2,194,,390,,-65,-14.3,,225,,-10,-4.3,,657,578,
Torridge and West Devon,Torridge and West Devon,England,641.43153539666,156.43153539666,640,,-65,-9,,1.4,499,,155,,-35,-18.4,,190,,5,2.7,,416,223,
Totnes,Totnes,England,536.48965300612,126.48965300612,535,,70,15,,1.5,483,,125,,35,38.9,,170,,30,21.4,,352,184,
Tottenham,Tottenham,England,"3,034.22803286036",419.22803286036,"3,030",,-60,-2,,4.2,100,,415,,-35,-7.8,,970,,60,6.6,,"2,376",652,
Truro and Falmouth,Truro and Falmouth,England,811.84598055716,186.84598055716,810,,-20,-2,,1.8,404,,185,,-10,-5.1,,220,,10,4.8,,482,329,
Tunbridge Wells,Tunbridge Wells,England,571.08054744330,81.08054744330,570,,85,18,,1.1,570,,80,,-5,-5.9,,175,,45,34.6,,429,140,
Twickenham,Twickenham,England,956.51355549554,126.51355549554,955,,115,14,,1.5,479,,125,,0,0.0,,315,,75,31.3,,590,364,
Tynemouth,Tynemouth,England,"1,322.70295517356",282.70295517356,"1,320",,-55,-4,,2.7,263,,280,,-5,-1.8,,345,,-10,-2.8,,871,448,
Upper Bann,Upper Bann,Northern Ireland,"1,642.84463837922",422.84463837922,"1,640",,-610,-27,,2.8,240,,420,,-135,-24.3,,380,,-120,-24.0,,"1,641",..,
Uxbridge and South Ruislip,Uxbridge and South Ruislip,England,871.52010990429,156.52010990429,870,,40,5,,1.5,477,,155,,10,6.9,,220,,35,18.9,,650,221,
Vale of Clwyd,Vale of Clwyd,Wales,"1,068.42623239941",273.42623239941,"1,065",,-135,-11,,3.4,162,,270,,-55,-16.9,,235,,0,0.0,,620,446,
Vale of Glamorgan,Vale of Glamorgan,Wales,"1,277.71840863712",322.71840863712,"1,275",,-70,-5,,2.7,258,,320,,-25,-7.2,,295,,-15,-4.8,,913,361,
Vauxhall,Vauxhall,England,"2,307.99485453913",277.99485453913,"2,305",,15,1,,3.0,220,,275,,-20,-6.8,,765,,55,7.7,,"1,600",704,
Wakefield,Wakefield,England,"1,382.86783605277",272.86783605277,"1,380",,-35,-2,,2.9,235,,270,,-10,-3.6,,340,,-20,-5.6,,"1,045",336,
Wallasey,Wallasey,England,"1,358.28460478774",338.28460478774,"1,355",,-25,-2,,3.3,185,,335,,-5,-1.5,,265,,-10,-3.6,,538,818,
Walsall North,Walsall North,England,"2,255.20017613090",535.20017613090,"2,250",,210,10,,5.2,41,,530,,40,8.2,,460,,45,10.8,,"1,545",705,
Walsall South,Walsall South,England,"2,079.74837214851",464.74837214851,"2,075",,145,8,,4.7,64,,460,,20,4.5,,495,,110,28.6,,"1,446",627,
Walthamstow,Walthamstow,England,"2,033.40645146311",348.40645146311,"2,030",,-200,-9,,3.4,165,,345,,-80,-18.8,,525,,-15,-2.8,,"1,466",564,
Wansbeck,Wansbeck,England,"1,849.79652714323",474.79652714323,"1,845",,65,4,,4.8,63,,470,,25,5.6,,455,,55,13.8,,"1,330",512,
Wantage,Wantage,England,385.65531135652,55.65531135652,385,,-5,-1,,0.7,642,,55,,-5,-8.3,,150,,35,30.4,,269,121,
Warley,Warley,England,"2,215.12578417361",465.12578417361,"2,210",,105,5,,5.1,45,,460,,-15,-3.2,,515,,65,14.4,,"1,588",623,
Warrington North,Warrington North,England,"1,167.41671342327",237.41671342327,"1,165",,-130,-10,,2.4,308,,235,,-75,-24.2,,280,,25,9.8,,502,663,
Warrington South,Warrington South,England,896.58005255463,196.58005255463,895,,-205,-19,,1.6,466,,195,,-50,-20.4,,210,,-45,-17.6,,369,528,
Warwick and Leamington,Warwick and Leamington,England,541.06550643476,96.06550643475,540,,15,3,,1.1,575,,95,,5,5.6,,160,,30,23.1,,332,206,
Washington and Sunderland West,Washington and Sunderland West,England,"1,924.48196619687",479.48196619687,"1,920",,0,0,,4.5,83,,475,,-15,-3.1,,440,,5,1.1,,"1,277",645,
Watford,Watford,England,"1,061.62669030498",196.62669030498,"1,060",,5,0,,1.6,452,,195,,10,5.4,,285,,5,1.8,,790,268,
Waveney,Waveney,England,"2,189.84432908345",544.84432908345,"2,185",,775,55,,4.8,60,,540,,160,42.1,,525,,205,64.1,,365,"1,823",
Wealden,Wealden,England,450.89365811756,90.89365811756,450,,15,3,,0.9,606,,90,,-10,-10.0,,140,,15,12.0,,315,134,
Weaver Vale,Weaver Vale,England,"1,107.59415257646",232.59415257646,"1,105",,60,6,,2.6,282,,230,,-30,-11.5,,280,,50,21.7,,284,818,
Wellingborough,Wellingborough,England,"1,237.29585028620",257.29585028620,"1,235",,-30,-2,,2.3,329,,255,,-35,-12.1,,320,,20,6.7,,857,380,
Wells,Wells,England,"1,132.28828886381",207.28828886381,"1,130",,430,61,,2.3,331,,205,,35,20.6,,350,,160,84.2,,121,"1,014",
Welwyn Hatfield,Welwyn Hatfield,England,836.45391099558,171.45391099558,835,,-50,-6,,1.5,494,,170,,0,0.0,,235,,15,6.8,,592,243,
Wentworth and Dearne,Wentworth and Dearne,England,"1,703.71992048630",423.71992048630,"1,700",,25,1,,3.7,134,,420,,-15,-3.4,,330,,-15,-4.3,,"1,148",551,
West Aberdeenshire and Kincardine,West Aberdeenshire and Kincardine,Scotland,786.53499133755,136.53499133755,785,,95,14,,1.5,473,,135,,25,22.7,,260,,65,33.3,,622,159,
West Bromwich East,West Bromwich East,England,"2,090.06929535303",440.06929535303,"2,085",,-20,-1,,5.1,47,,435,,5,1.2,,510,,30,6.3,,"1,516",569,
West Bromwich West,West Bromwich West,England,"2,195.03027882269",465.03027882269,"2,190",,75,4,,5.0,52,,460,,-30,-6.1,,515,,40,8.4,,"1,592",594,
West Dorset,West Dorset,England,415.98002341859,80.98002341859,415,,55,15,,1.0,590,,80,,-5,-5.9,,120,,15,14.3,,261,153,
West Dunbartonshire,West Dunbartonshire,Scotland,"2,154.93976632465",454.93976632465,"2,150",,-85,-4,,4.9,58,,450,,-85,-15.9,,535,,40,8.1,,"1,334",819,
West Ham,West Ham,England,"2,747.98933636572",497.98933636572,"2,745",,50,2,,3.0,221,,495,,25,5.3,,740,,70,10.4,,"1,990",753,
West Lancashire,West Lancashire,England,"1,237.71180798437",302.71180798437,"1,235",,-50,-4,,2.7,260,,300,,-30,-9.1,,290,,15,5.5,,462,776,
West Suffolk,West Suffolk,England,766.28185852387,191.28185852387,765,,110,17,,1.3,529,,190,,25,15.2,,185,,35,23.3,,461,301,
West Tyrone,West Tyrone,Northern Ireland,"1,794.52142999488",459.52142999488,"1,790",,-545,-23,,4.5,80,,455,,-140,-23.5,,455,,-65,-12.5,,"1,788",..,
West Worcestershire,West Worcestershire,England,546.34220279517,146.34220279517,545,,10,2,,1.3,517,,145,,10,7.4,,160,,10,6.7,,365,179,
Westminster North,Westminster North,England,"1,467.24268530846",202.24268530846,"1,465",,-75,-5,,2.2,340,,200,,-15,-7.0,,440,,20,4.8,,"1,122",342,
Westmorland and Lonsdale,Westmorland and Lonsdale,England,265.67675470060,55.67675470060,265,,-10,-4,,0.7,639,,55,,5,10.0,,70,,-5,-6.7,,106,159,
Weston-Super-Mare,Weston-Super-Mare,England,976.91643878789,231.91643878789,975,,0,0,,1.9,392,,230,,-10,-4.2,,245,,5,2.1,,611,364,
Wigan,Wigan,England,"1,963.95595686460",413.95595686460,"1,960",,45,2,,4.0,116,,410,,-40,-8.9,,445,,25,6.0,,"1,017",944,
Wimbledon,Wimbledon,England,641.17625176457,96.17625176457,640,,50,8,,1.2,552,,95,,25,35.7,,190,,25,15.2,,454,188,
Winchester,Winchester,England,310.65449302270,60.65449302270,310,,-50,-14,,0.7,643,,60,,15,33.3,,95,,-20,-17.4,,204,104,
Windsor,Windsor,England,490.90187521709,55.90187521709,490,,5,1,,0.9,605,,55,,-5,-8.3,,155,,25,19.2,,358,132,
Wirral South,Wirral South,England,501.52117480323,126.52117480323,500,,10,2,,1.5,475,,125,,-5,-3.8,,115,,5,4.5,,185,312,
Wirral West,Wirral West,England,526.71128634128,136.71128634128,525,,-35,-6,,1.7,436,,135,,-35,-20.6,,135,,15,12.5,,202,318,
Witham,Witham,England,586.31428904253,116.31428904253,585,,-10,-2,,1.3,523,,115,,-20,-14.8,,175,,10,6.1,,423,163,
Witney,Witney,England,375.66386893201,65.66386893201,375,,-40,-10,,0.7,641,,65,,-25,-27.8,,115,,-5,-4.2,,262,113,
Woking,Woking,England,460.84444810781,70.84444810781,460,,85,23,,0.8,614,,70,,25,55.6,,115,,15,15.0,,333,125,
Wokingham,Wokingham,England,420.75023321418,70.75023321417,420,,5,1,,0.8,629,,70,,-5,-6.7,,125,,0,0.0,,301,122,
Wolverhampton North East,Wolverhampton North East,England,"2,445.92044742739",570.92044742740,"2,440",,95,4,,5.9,23,,565,,35,6.6,,525,,50,10.5,,"1,798",639,
Wolverhampton South East,Wolverhampton South East,England,"2,661.53395274509",601.53395274509,"2,655",,175,7,,6.5,15,,595,,60,11.2,,600,,75,14.3,,"1,891",763,
Wolverhampton South West,Wolverhampton South West,England,"2,150.33832468137",415.33832468137,"2,145",,135,7,,5.3,34,,410,,5,1.2,,510,,70,15.9,,"1,580",562,
Worcester,Worcester,England,"1,041.99242867715",226.99242867715,"1,040",,-45,-4,,2.0,375,,225,,-25,-10.0,,255,,20,8.5,,688,356,
Workington,Workington,England,"1,248.34492381239",293.34492381239,"1,245",,160,15,,3.3,177,,290,,-5,-1.7,,285,,55,23.9,,352,894,
Worsley and Eccles South,Worsley and Eccles South,England,"1,693.48680338251",358.48680338251,"1,690",,-185,-10,,3.5,156,,355,,-125,-26.0,,380,,10,2.7,,835,854,
Worthing West,Worthing West,England,756.73928324858,136.73928324858,755,,75,11,,1.7,427,,135,,-15,-10.0,,255,,70,37.8,,528,225,
Wrexham,Wrexham,Wales,822.38064178275,192.38064178275,820,,-90,-10,,2.4,315,,190,,-45,-19.1,,185,,-20,-9.8,,520,299,
Wycombe,Wycombe,England,"1,016.77686202196",166.77686202196,"1,015",,80,9,,1.8,420,,165,,20,13.8,,295,,20,7.3,,766,249,
Wyre and Preston North,Wyre and Preston North,England,436.02596103628,106.02596103628,435,,45,12,,1.0,584,,105,,10,10.5,,120,,25,26.3,,215,216,
Wyre Forest,Wyre Forest,England,831.82260458623,196.82260458623,830,,50,6,,1.8,411,,195,,0,0.0,,215,,25,13.2,,527,306,
Wythenshawe and Sale East,Wythenshawe and Sale East,England,"1,768.35506254509",368.35506254509,"1,765",,-135,-7,,3.4,176,,365,,-105,-22.3,,390,,25,6.8,,770,993,
Yeovil,Yeovil,England,756.41449415633,156.41449415633,755,,60,9,,1.4,505,,155,,-10,-6.1,,210,,35,20.0,,466,285,
Ynys Mon,Ynys Mn,Wales,"1,148.69761509263",288.69761509263,"1,145",,-205,-15,,3.7,137,,285,,-55,-16.2,,290,,-15,-4.9,,764,379,
York Central,York Central,England,761.24996677729,171.24996677729,760,,15,2,,1.2,532,,170,,-20,-10.5,,190,,40,26.7,,453,308,
York Outer,York Outer,England,280.60782473086,60.60782473086,280,,-5,-2,,0.6,648,,60,,-10,-14.3,,80,,10,14.3,,174,104,
,,,,,,,,,,,,,,,,,,,,,,,,,
North East,North East,,,,"53,910",,"1,920",4,,4.3,,,"12,335",,445,3.7,,"13,265",,"1,120",9.2,,"35,149","18,767",
North West,North West,,,,"110,950",,490,0,,3.3,,,"24,015",,"-2,585",-9.7,,"25,050",,"2,335",10.3,,"50,848","60,105",
Yorkshire and The Humber,Yorkshire and The Humber,,,,"79,210",,475,1,,3.0,,,"17,915",,-210,-1.2,,"18,085",,"1,120",6.6,,"53,524","25,694",
East Midlands,East Midlands,,,,"47,165",,-870,-2,,2.1,,,"10,920",,-310,-2.8,,"11,340",,585,5.4,,"31,267","15,905",
West Midlands,West Midlands,,,,"87,975",,"4,800",6,,3.3,,,"19,075",,525,2.8,,"20,450",,"2,595",14.5,,"60,320","27,655",
East,East of England,,,,"51,520",,"1,750",4,,1.7,,,"10,880",,100,0.9,,"13,640",,"1,400",11.4,,"32,883","18,646",
London,London,,,,"120,260",,"7,845",7,,2.6,,,"18,830",,355,1.9,,"34,395",,"5,430",18.7,,"74,628","45,671",
South East,South East,,,,"65,635",,"2,885",5,,1.5,,,"12,950",,235,1.8,,"18,180",,"1,925",11.8,,"45,296","20,344",
South West,South West,,,,"45,790",,"3,195",8,,1.7,,,"9,755",,100,1.0,,"12,140",,"1,665",15.9,,"26,803","18,992",
England,England,,,,"662,420",,"22,495",4,,2.5,,,"136,680",,"-1,335",-1.0,,"166,540",,"18,160",12.2,,"410,718","251,772",
Wales,Wales,,,,"42,935",,"-3,145",-7,,3.0,,,"10,910",,-790,-6.8,,"9,680",,-240,-2.4,,"28,328","14,607",
Scotland,Scotland,,,,"84,115",,"3,355",4,,3.2,,,"18,080",,75,0.4,,"20,520",,"2,210",12.1,,"51,893","32,227",
Northern Ireland,Northern Ireland,,,,"32,250",,"-6,760",-17,,3.8,,,"7,570",,"-2,365",-23.8,,"7,865",,-675,-7.9,,"32,251",..,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,